Email,Employment ID,First Name,Last Name,Employment Details Hire Date,Work Region,Designation,Pay Grade,Competency,Onsite/ Offshore,Allocation Status,Skills
amandamartin@example.net,57722,Summer,Payne,2020-05-19,CORPORATE,Consultant I,10-Grade 9,SCM,Offshore,On Project - Fulltime,"Core HR,Talent"
chelseahart@example.com,68839,Donna,Khan,2023-07-11,AMEA - KSA,Associate Consultant,09-Grade 9,ERP Finance,Offshore,On Project - Fulltime,SQL
ashley31@example.org,22877,Bobby,Park,2023-11-26,AMEA - KSA,Associate Consultant,09-Grade 9,AD,Onsite,Freshers Training,"Core HR,ORC,Absence"
hoffmangary@example.com,51834,Mike,Brooks,2021-07-20,UK/EUROPE - UK,Manager II - Projects,09-Grade 9,SCM,Offshore,On Project - Fulltime,SQL
smithkevin@example.com,33174,Gregory,Foster,2023-06-24,CORPORATE,Manager II - Projects,09-Grade 9,ERP Finance,Onsite,On Project - Fulltime,SQL
dawsonrebecca@example.org,54444,Bryan,Lowe,2023-11-01,NA,Consultant I,04-Grade 4,ERP Finance,Onsite,On Project - Partial,"ORC,Talent"
debbiewilcox@example.org,66959,Jeffery,Jones,2024-07-01,CORPORATE,Sr. Consultant II,07-Grade 7,SCM,Onsite,Bench,PM
ehicks@example.org,34852,Jared,Acevedo,2023-04-04,CORPORATE,Consultant I,T2-Programmer Trainee,SCM,Onsite,Bench,SQL
gregoryburton@example.net,29348,Joseph,Weaver,2020-06-16,AMEA - KSA,Manager I - Delivery,04-Grade 4,PRGM,Onsite,Freshers Training,SQL
websterchristian@example.org,51509,Molly,Cox,2020-12-26,AMEA - KSA,Consultant II,09-Grade 9,ERP Finance,Onsite,On Project - Fulltime,"Core HR,ORC,Absence"
davidsonstephanie@example.com,93221,Kevin,Barton,2022-11-18,CORPORATE,Manager I - Delivery,05-Grade 5,PRGM,Offshore,Bench,"Core HR,Talent"
todd68@example.net,71679,Harry,Stewart,2022-04-13,CORPORATE,Consultant I,10-Grade 9,SCM,Offshore,Freshers Training,"Core HR,Talent"
uwilliams@example.org,34660,Joseph,Moody,2023-02-14,NA,Associate Consultant,T2-Programmer Trainee,SCM,Onsite,On Project - Partial,"Core HR,ORC,Absence"
zachary49@example.net,74956,Cynthia,Anderson,2020-10-05,UK/EUROPE - UK,Manager I - Delivery,10-Grade 9,AD,Onsite,On Project - Partial,"Core HR,Talent"
scottjames@example.org,49518,David,Roberts,2022-09-05,CORPORATE,Consultant II,07-Grade 7,HCM,Offshore,Freshers Training,"ORC,Talent"
laura60@example.com,81403,Kevin,Payne,2022-02-02,UK/EUROPE - UK,Sr. Consultant II,07-Grade 7,HCM,Offshore,On Project - Partial,"AP,AR"
ftorres@example.net,32118,Carlos,Salinas,2020-05-28,NA,Manager I - Delivery,05-Grade 5,AD,Offshore,On Project - Fulltime,PM
blairsherri@example.net,16085,Robert,Arroyo,2020-05-21,NA,Consultant I,09-Grade 9,AD,Onsite,On Project - Fulltime,PM
geraldmoran@example.org,96445,Timothy,Kennedy,2020-12-07,UK/EUROPE - UK,Manager II - Projects,07-Grade 7,HCM,Onsite,Bench,"Core HR,Talent"
christopherlara@example.net,11180,Shawn,Zhang,2023-01-14,UK/EUROPE - UK,Associate Consultant,07-Grade 7,ERP Finance,Onsite,On Project - Partial,"Core HR,ORC,Absence"
isampson@example.com,18182,Samantha,Charles,2022-07-29,AMEA - KSA,Consultant I,10-Grade 9,ERP Finance,Onsite,Freshers Training,SQL
russojoyce@example.net,65171,Richard,Adams,2022-03-24,AMEA - KSA,Sr. Consultant II,09-Grade 9,PRGM,Onsite,Freshers Training,"Core HR,ORC,Absence"
torresphilip@example.net,76596,Scott,Carson,2022-10-03,NA,Associate Consultant,07-Grade 7,PRGM,Onsite,Freshers Training,"Core HR,ORC,Absence"
patricia84@example.net,80562,Evan,Thompson,2022-06-07,CORPORATE,Manager I - Delivery,05-Grade 5,SCM,Onsite,On Project - Fulltime,SQL
stephanieanderson@example.com,87147,Alexis,Pittman,2023-09-22,AMEA - KSA,Manager I - Delivery,07-Grade 7,SCM,Offshore,Bench,"Core HR,ORC,Absence"
